"HS8","HS6","DESC","COUNT","LDESC1","LDESC2","LDESC3","LDESC4","LDESC5","LDESC6","LDESC7","LDESC8","LDESC9","LDESC10","UNITID","UYEAR","UNITID1","UYEAR1","UNITID2","UYEAR2","UNITID3","UYEAR3","UNITID4","UYEAR4","UNITID5","UYEAR5","UNITID6","UYEAR6","UNITID7","UYEAR7","UNITID8","UYEAR8","UNITID9","UYEAR9","MAIN1994","SUB1994","MAIN1995","SUB1995","MAIN1996","SUB1996","MAIN1997","SUB1997","MAIN","SUB","CDESC"
27150000,271500,"BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, NATURALBITUMEN, PETROLEUM BITUMEN, MINERAL TAR OR MINERAL TAR PITCH",2,"BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, NATURAL","BITUMEN, PETROLEUM BITUMEN, MINERAL TAR OR MINERAL TAR PITCH",,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,90,03,90,03,90,03,90,03,90,瀝青混合物，以天然柏油、天然瀝青、礦物焦油或礦物焦油瀝青為基本成份
27160000,271600,ELECTRICAL ENERGY,1,ELECTRICAL ENERGY,,,,,,,,,,18,1994,,,,,,,,,,,,,,,,,,,04,01,04,01,04,01,04,01,04,01,電力
28011010,280110,CHLORINE LIQUID,1,CHLORINE LIQUID,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,液體氯
28011090,280110,"CHLORINE, NESOI",,,,,,,,,,,,8,2002,1,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,氯，未列明或未包括在其他編號
28012000,280120,IODINE,1,IODINE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,碘
28013000,280130,FLUORINE; BROMINE,1,FLUORINE; BROMINE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氟；溴
28020000,280200,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLODIAL SULPHUR",1,"SULPHUR, SUBLIMED OR PRECIPITATED; COLLODIAL SULPHUR",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,昇華硫或沉澱硫；膠態硫
28030000,280300,"CARBON, NESOI (INCLUDING CARBON BLACK)",1,"CARBON, NESOI (INCLUDING CARBON BLACK)",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,碳，未列明或未包括在其他編號（包括碳黑）
28041000,280410,HYDROGEN,1,HYDROGEN,,,,,,,,,,1,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氫
28042100,280421,ARGON,1,ARGON,,,,,,,,,,1,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氬
28042900,280429,"RARE GASES, NESOI (OTHER THAN ARGON)",1,"RARE GASES, NESOI (OTHER THAN ARGON)",,,,,,,,,,1,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,稀有氣體，未列明或未包括在其他編號（氬除外）
28043000,280430,NITROGEN,1,NITROGEN,,,,,,,,,,1,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氮
28044000,280440,OXYGEN,1,OXYGEN,,,,,,,,,,1,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氧
28045000,280450,BORON; TELLURIUM,1,BORON; TELLURIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,硼；碲
28046100,280461,"SILICON, CONTAINING BY WEIGHT NOT LESS THAN 99.99% OFSILICON",2,"SILICON, CONTAINING BY WEIGHT NOT LESS THAN 99.99% OF",SILICON,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,硅，以重量計含硅量最少達９９．９９％
28046900,280469,"SILICON, CONTAINING BY WEIGHT LESS THAN 99.99% OF SILICON",1,"SILICON, CONTAINING BY WEIGHT LESS THAN 99.99% OF SILICON",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,硅，以重量計含硅量少於９９．９９％
28047000,280470,PHOSPHORUS,1,PHOSPHORUS,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,磷
28048000,280480,ARSENIC,1,ARSENIC,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,砷
28049000,280490,SELENIUM,1,SELENIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,硒
28051100,280511,SODIUM,1,SODIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,鈉
28051200,280512,CALCIUM,,CALCIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,鈣
28051900,280519,"OTHER ALKALI METALS, NESOI",,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,其他鹼或鹼土金屬
28052100,280521,CALCIUM,1,CALCIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,鈣
28052200,280522,STRONTIUM AND BARIUM,1,STRONTIUM AND BARIUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,鍶及鋇
28053000,280530,"RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOTINTERMIXED OR INTERALLOYED",2,"RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT",INTERMIXED OR INTERALLOYED,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,稀土金屬、鈧及釔，無論是否互相混合或互相熔合
28054000,280540,MERCURY,1,MERCURY,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,汞（水銀）
28061010,280610,HYDROGEN CHLORIDE,1,HYDROGEN CHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氯化氫
28061020,280610,HYDROCHLORIC ACID,1,HYDROCHLORIC ACID,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,鹽酸
28062000,280620,CHLOROSULPHURIC ACID,1,CHLOROSULPHURIC ACID,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氯磺酸
28070010,280700,SULPHURIC ACID,1,SULPHURIC ACID,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,硫酸
28070020,280700,OLEUM,1,OLEUM,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,發煙硫酸
28080000,280800,"NITRIC ACID, SULPHONITRIC ACIDS",1,"NITRIC ACID, SULPHONITRIC ACIDS",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,硝酸；硫硝酸
28091000,280910,DIPHOSPHORUS PENTAOXIDE,1,DIPHOSPHORUS PENTAOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,五氧化二磷
28092000,280920,PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS,1,PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,磷酸及多磷酸
28100000,281000,OXIDES OF BORON; BORIC ACIDS,1,OXIDES OF BORON; BORIC ACIDS,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,硼的氧化物；硼酸
28111100,281111,HYDROGEN FLUORIDE (HYDROFLUORIC ACID),1,HYDROGEN FLUORIDE (HYDROFLUORIC ACID),,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,氟化氫（氫氟酸）
28111200,281112,HYDROGEN CYANIDE (HYDROCYANIC ACID),,,,,,,,,,,,8,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,氰化氫(氫氰酸)
28111910,281119,ARSENIC PENTOXIDE,1,ARSENIC PENTOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,五氧化二砷
28111920,281119,ARSENIC TRIOXIDE,1,ARSENIC TRIOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,三氧化二砷
28111930,281119,ARSENIC ACIDS,1,ARSENIC ACIDS,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,砷酸
28111940,281119,HYDROGEN CYANIDE,1,HYDROGEN CYANIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,氰化氫
28111990,281119,"INORGANIC ACIDS, NESOI",1,"INORGANIC ACIDS, NESOI",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,無機酸，未列明或未包括在其他編號
28112100,281121,CARBON DIOXIDE,1,CARBON DIOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,二氧化碳
28112200,281122,SILICON DIOXIDE,1,SILICON DIOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,二氧化硅
28112300,281123,SULPHUR DIOXIDE,1,SULPHUR DIOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,二氧化硫
28112900,281129,"INORGANIC OXYGEN COMPOUNDS OF NONMETALS, NESOI",1,"INORGANIC OXYGEN COMPOUNDS OF NONMETALS, NESOI",,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,03,12,非金屬無機氧化物，未列明或未包括在其他編號
28112910,281129,ARSENIC PENTOXIDE,,ARSENIC PENTOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五氧化二砷
28112920,281129,ARSENIC TRIOXIDE,,ARSENIC TRIOXIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三氧化二砷
28112930,281129,SULPHUR DIOXIDE,,,,,,,,,,,,8,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二氧化硫
28112990,281129,"INORGANIC OXYGEN COMPOUNDS OF NON-METALS, NESOI",,,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,非金屬無機氧化物，未列明或未包括在其他編號
28121000,281210,CHLORIDES AND CHLORIDE OXIDES OF NONMETALS,,CHLORIDES AND CHLORIDE OXIDES OF NONMETALS,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,03,12,03,12,03,12,03,12,,,氯化物及氯氧化物
28121010,281210,ARSENIC TRICHLORIDE,1,ARSENIC TRICHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,三氯化砷
28121020,281210,CARBONYL DICHLORIDE (PHOSGENE),1,CARBONYL DICHLORIDE (PHOSGENE),,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,二氯化羰
28121030,281210,PHOSPHORUS OXYCHLORIDE,1,PHOSPHORUS OXYCHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,氧氯化磷
28121040,281210,PHOSPHORUS TRICHLORIDE,1,PHOSPHORUS TRICHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,三氯化磷
28121050,281210,PHOSPHORUS PENTACHLORIDE,1,PHOSPHORUS PENTACHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,五氯化磷
28121060,281210,SULPHUR MONOCHLORIDE,1,SULPHUR MONOCHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,一氯化硫
28121070,281210,SULPHUR DICHLORIDE,1,SULPHUR DICHLORIDE,,,,,,,,,,8,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,03,12,二氯化硫
